iter	Passed	Remaining
0	164	163864
1	165	82345
2	165	55068
3	166	41411
4	166	33214
5	167	27745
6	168	23833
7	168	20895
8	169	18616
9	169	16792
10	170	15340
11	171	14105
12	171	13057
13	172	12162
14	173	11380
15	173	10699
16	174	10094
17	175	9562
18	175	9080
19	176	8646
20	177	8253
21	177	7902
22	178	7579
23	179	7281
24	179	7011
25	180	6757
26	180	6522
27	181	6309
28	182	6106
29	183	5918
30	183	5741
31	184	5584
32	185	5443
33	186	5301
34	187	5179
35	188	5059
36	189	4936
37	190	4820
38	191	4706
39	191	4599
40	192	4496
41	192	4399
42	193	4305
43	193	4214
44	194	4128
45	195	4048
46	195	3969
47	196	3895
48	196	3822
49	197	3752
50	198	3694
51	199	3634
52	200	3575
53	200	3519
54	201	3467
55	202	3418
56	203	3369
57	204	3322
58	205	3273
59	206	3228
60	206	3182
61	207	3136
62	207	3091
63	208	3047
64	209	3008
65	209	2967
66	210	2927
67	210	2885
68	211	2847
69	211	2811
70	212	2775
71	212	2745
72	213	2712
73	214	2683
74	215	2655
75	216	2627
76	217	2601
77	217	2573
78	218	2545
79	218	2517
80	219	2489
81	219	2462
82	220	2436
83	221	2411
84	221	2384
85	222	2360
86	222	2334
87	223	2311
88	223	2288
89	224	2267
90	224	2245
91	225	2224
92	225	2203
93	226	2183
94	227	2166
95	228	2149
96	228	2130
97	229	2111
98	230	2094
99	230	2076
100	231	2059
101	231	2039
102	232	2022
103	232	2006
104	233	1990
105	234	1974
106	234	1959
107	235	1944
108	235	1928
109	236	1913
110	237	1898
111	237	1884
112	238	1870
113	238	1855
114	239	1842
115	239	1827
116	240	1814
117	240	1801
118	241	1788
119	242	1778
120	243	1766
121	243	1755
122	244	1742
123	245	1731
124	245	1720
125	246	1708
126	246	1697
127	247	1685
128	247	1674
129	248	1662
130	249	1652
131	249	1641
132	250	1631
133	250	1621
134	251	1612
135	252	1602
136	252	1592
137	253	1581
138	253	1571
139	254	1562
140	254	1553
141	255	1543
142	256	1537
143	257	1531
144	258	1523
145	259	1515
146	259	1506
147	260	1498
148	260	1489
149	261	1481
150	261	1472
151	262	1464
152	263	1456
153	263	1448
154	264	1440
155	264	1433
156	265	1426
157	266	1418
158	266	1411
159	267	1405
160	268	1398
161	268	1391
162	269	1384
163	270	1378
164	271	1372
165	271	1365
166	272	1359
167	273	1352
168	274	1348
169	274	1342
170	275	1335
171	276	1329
172	276	1323
173	277	1316
174	277	1310
175	278	1304
176	279	1298
177	279	1291
178	280	1285
179	280	1279
180	281	1272
181	281	1266
182	282	1260
183	282	1254
184	283	1248
185	284	1244
186	285	1240
187	286	1235
188	286	1229
189	287	1224
190	287	1218
191	288	1213
192	288	1207
193	289	1202
194	289	1197
195	290	1191
196	291	1186
197	291	1181
198	292	1176
199	292	1171
200	293	1166
201	294	1161
202	294	1157
203	295	1152
204	295	1147
205	296	1142
206	297	1138
207	297	1133
208	298	1130
209	299	1126
210	300	1124
211	302	1122
212	303	1121
213	304	1118
214	305	1115
