iter	Passed	Remaining
0	149	149351
1	150	74912
2	150	50085
3	151	37682
4	152	30315
5	153	25389
6	153	21841
7	154	19177
8	155	17099
9	155	15436
10	156	14075
11	157	12944
12	157	11978
13	158	11157
14	159	10442
15	159	9814
16	160	9264
17	160	8772
18	161	8336
19	162	7939
20	162	7585
21	163	7259
22	163	6960
23	164	6687
24	165	6435
25	165	6202
26	166	5998
27	167	5822
28	168	5642
29	169	5471
30	169	5307
31	170	5153
32	170	5009
33	171	4872
34	172	4745
35	172	4623
36	173	4508
37	173	4401
38	174	4299
39	175	4201
40	175	4108
41	176	4020
42	176	3936
43	177	3856
44	178	3778
45	178	3704
46	179	3634
47	179	3566
48	180	3500
49	181	3442
50	182	3395
51	183	3340
52	183	3286
53	184	3232
54	185	3180
55	185	3131
56	186	3082
57	186	3035
58	187	2991
59	188	2949
60	188	2907
61	189	2865
62	190	2827
63	190	2788
64	191	2751
65	191	2716
66	192	2680
67	193	2646
68	193	2612
69	194	2581
70	194	2549
71	195	2524
72	196	2498
73	197	2471
74	198	2448
75	199	2423
76	199	2397
77	200	2371
78	201	2346
79	201	2322
80	202	2297
81	203	2274
82	203	2247
83	204	2224
84	204	2203
85	205	2180
86	205	2159
87	206	2138
88	206	2118
89	207	2098
90	208	2078
91	208	2059
92	209	2041
93	210	2025
94	211	2016
95	212	2001
96	213	1985
97	213	1969
98	214	1956
99	215	1942
100	216	1927
101	217	1914
102	218	1900
103	218	1885
104	219	1870
105	219	1855
106	220	1840
107	221	1825
108	221	1813
109	222	1799
110	223	1787
111	223	1775
112	224	1763
113	225	1753
114	226	1743
115	227	1733
116	228	1721
117	229	1713
118	230	1703
119	230	1692
120	231	1680
121	231	1668
122	232	1657
123	233	1646
124	233	1635
125	234	1624
126	234	1613
127	235	1604
128	236	1595
129	236	1585
130	237	1575
131	238	1566
132	239	1559
133	240	1551
134	241	1546
135	242	1538
136	242	1530
137	243	1521
138	244	1512
139	244	1504
140	245	1498
141	246	1491
142	247	1484
143	248	1475
144	248	1467
145	249	1458
146	249	1450
147	250	1442
148	251	1434
149	252	1430
150	253	1427
151	255	1423
152	255	1415
153	256	1408
154	257	1401
155	257	1394
156	258	1387
157	259	1381
158	259	1374
159	260	1368
160	261	1360
161	261	1353
162	262	1345
163	262	1338
164	263	1331
165	263	1325
166	264	1320
167	265	1315
168	266	1311
169	268	1309
170	269	1306
171	270	1302
172	271	1297
173	272	1291
174	272	1285
175	273	1279
176	273	1273
177	274	1267
178	275	1261
179	275	1256
180	276	1251
181	277	1245
182	277	1240
183	278	1235
184	279	1229
185	279	1223
186	280	1219
187	281	1217
188	282	1214
189	283	1209
190	284	1204
191	285	1199
192	286	1195
193	286	1191
194	287	1187
195	288	1183
196	289	1178
197	289	1173
198	290	1168
199	290	1163
200	291	1158
201	292	1153
202	292	1148
203	293	1144
204	294	1142
205	295	1139
206	296	1136
207	297	1132
208	298	1128
209	299	1125
210	299	1121
211	300	1118
212	301	1114
213	302	1109
214	302	1105
215	303	1101
216	303	1096
217	304	1092
218	305	1088
219	306	1085
220	306	1081
221	307	1077
222	308	1073
223	309	1071
224	310	1069
225	311	1065
226	311	1062
227	312	1059
228	313	1055
229	314	1052
230	314	1048
231	315	1044
232	316	1040
233	316	1037
234	317	1034
235	318	1030
236	318	1026
237	319	1023
238	320	1019
239	320	1015
240	321	1012
241	321	1008
242	325	1013
243	326	1011
244	327	1008
245	328	1006
246	329	1003
247	330	1001
248	331	999
249	332	997
250	333	994
251	334	991
252	334	988
253	335	986
254	337	985
255	338	984
256	339	982
257	340	978
258	341	976
259	341	973
260	342	970
261	343	967
262	344	964
263	344	960
264	345	957
265	345	954
266	346	950
267	346	947
268	347	944
269	348	941
270	349	939
271	349	936
272	350	934
273	351	931
274	352	929
275	353	927
276	354	925
277	355	922
278	355	919
279	356	917
280	357	914
281	358	911
282	358	908
283	359	905
284	359	902
285	360	899
286	361	896
287	361	893
288	362	890
289	362	888
290	363	885
291	364	882
292	365	881
293	366	879
294	367	878
295	368	876
296	369	875
297	370	873
298	371	871
299	372	869
300	373	866
301	374	864
302	374	862
303	375	860
304	376	857
305	377	855
306	378	853
307	378	851
308	379	849
309	380	847
310	381	845
311	382	843
312	383	841
313	384	839
314	385	837
315	385	835
316	386	832
317	387	830
318	387	827
319	388	825
320	389	823
321	390	821
322	391	819
323	391	817
324	392	814
325	393	812
326	394	811
327	395	809
328	396	807
329	396	805
330	397	802
331	397	800
332	398	798
333	399	795
334	399	793
335	400	791
336	401	789
337	402	787
338	402	785
339	403	783
340	404	781
341	405	779
342	405	777
343	406	775
344	407	773
345	408	772
346	409	770
347	410	768
348	410	766
349	411	763
350	411	761
351	412	759
352	413	757
353	413	755
354	414	753
355	415	752
356	416	750
357	417	747
358	417	745
359	418	743
360	418	741
361	419	739
362	420	738
363	421	736
364	422	734
365	423	732
366	423	730
367	424	728
368	424	726
369	425	724
370	426	722
371	426	720
372	427	718
373	428	716
374	428	714
375	429	712
376	430	710
377	430	708
378	431	706
379	431	704
380	432	702
381	433	700
382	433	698
383	434	696
384	435	694
385	435	693
386	436	691
387	437	690
388	438	687
389	438	686
390	439	684
391	439	682
392	440	680
393	440	678
394	441	676
395	442	674
396	442	672
397	443	670
398	444	668
399	444	667
400	445	665
401	446	663
402	446	661
403	447	659
404	447	657
405	448	655
406	448	654
407	449	652
408	450	650
409	450	648
410	451	647
411	452	645
412	452	643
413	453	641
414	454	640
415	454	638
416	455	636
417	456	635
418	457	633
419	457	632
420	458	630
421	458	628
422	459	626
423	459	624
424	460	622
425	460	621
426	461	619
427	462	617
428	462	615
429	463	613
430	463	612
431	464	610
432	465	609
433	466	607
434	466	606
435	467	604
436	468	603
437	468	601
438	469	599
439	469	598
440	470	596
441	471	594
442	471	593
443	472	591
444	472	589
445	473	588
446	474	586
447	474	584
448	475	583
449	475	581
450	476	579
451	476	578
452	477	576
453	477	574
454	478	573
455	479	571
456	480	570
457	480	568
458	481	567
459	482	565
460	482	564
461	483	562
462	483	560
463	484	559
464	484	557
465	485	556
466	486	554
467	486	553
468	487	552
469	488	550
470	488	548
471	489	547
472	489	545
473	490	544
474	490	542
475	491	540
476	492	539
477	492	537
478	493	536
479	494	535
480	495	534
481	495	532
482	496	531
483	497	529
484	497	528
485	498	526
486	498	525
487	499	524
488	500	522
489	500	521
490	501	519
491	501	518
492	502	516
493	502	515
494	503	513
495	504	512
496	504	510
497	505	509
498	505	507
499	506	506
500	506	504
501	507	503
502	508	502
503	509	501
504	509	499
505	510	498
506	511	496
507	511	495
508	512	494
509	512	492
510	513	491
511	513	489
512	514	488
513	515	487
514	515	485
515	516	484
516	517	483
517	517	481
518	518	480
519	518	478
520	519	477
521	519	476
522	520	474
523	520	473
524	521	471
525	522	470
526	523	469
527	524	468
528	524	467
529	525	465
530	525	464
531	526	463
532	526	461
533	527	460
534	527	458
535	528	457
536	529	456
537	529	454
538	530	453
539	530	452
540	531	450
541	531	449
542	532	448
543	532	446
544	533	445
545	534	444
546	534	442
547	535	441
548	535	440
549	536	438
550	537	437
551	537	436
552	538	435
553	539	433
554	539	432
555	540	431
556	540	430
557	541	428
558	541	427
559	542	426
560	542	424
561	543	423
562	543	422
563	544	420
564	545	419
565	545	418
566	546	417
567	546	415
568	547	414
569	547	413
570	548	411
571	548	410
572	549	409
573	549	408
574	550	406
575	551	405
576	552	404
577	552	403
578	553	402
579	553	401
580	554	399
581	554	398
582	555	397
583	556	396
584	556	394
585	557	393
586	557	392
587	558	391
588	558	389
589	559	388
590	559	387
591	560	386
592	560	384
593	561	383
594	561	382
595	562	381
596	563	380
597	563	378
598	564	377
599	564	376
600	565	375
601	566	374
602	566	373
603	567	372
604	568	371
605	569	369
606	569	368
607	570	367
608	570	366
609	571	365
610	571	364
611	572	362
612	573	361
613	573	360
614	574	359
615	574	358
616	575	357
617	575	355
618	576	354
619	576	353
620	577	352
621	577	351
622	578	349
623	578	348
624	579	347
625	580	346
626	580	345
627	581	344
628	582	343
629	582	342
630	583	341
631	583	339
632	584	338
633	585	337
634	585	336
635	586	335
636	586	334
637	587	333
638	587	332
639	588	330
640	588	329
641	589	328
642	589	327
643	590	326
644	591	325
645	591	324
646	592	323
647	592	321
648	593	320
649	593	319
650	594	318
651	595	317
652	596	316
653	596	315
654	597	314
655	597	313
656	598	312
657	598	311
658	599	310
659	600	309
660	600	308
661	601	306
662	601	305
663	602	304
664	602	303
665	603	302
666	603	301
667	604	300
668	605	299
669	605	298
670	606	297
671	606	296
672	607	295
673	607	294
674	608	292
675	609	291
676	609	290
677	610	289
678	611	288
679	611	287
680	612	286
681	612	285
682	613	284
683	613	283
684	614	282
685	615	281
686	615	280
687	616	279
688	616	278
689	617	277
690	617	276
691	618	275
692	618	274
693	619	273
694	619	272
695	620	270
696	620	269
697	621	268
698	622	267
699	622	266
700	623	265
701	624	265
702	625	264
703	625	263
704	626	262
705	627	261
706	627	260
707	628	259
708	628	258
709	629	257
710	629	256
711	630	255
712	631	254
713	631	252
714	632	251
715	632	250
716	633	249
717	633	248
718	634	247
719	634	246
720	635	245
721	635	244
722	636	243
723	636	242
724	637	241
725	637	240
726	638	239
727	639	238
728	640	237
729	640	236
730	641	235
731	641	234
732	642	233
733	642	232
734	643	231
735	643	230
736	644	229
737	644	228
738	645	227
739	646	226
740	646	225
741	647	224
742	647	224
743	648	223
744	648	222
745	649	221
746	650	220
747	650	219
748	651	218
749	651	217
750	652	216
751	652	215
752	653	214
753	654	213
754	654	212
755	655	211
756	656	210
757	656	209
758	657	208
759	657	207
760	658	206
761	659	205
762	659	204
763	660	203
764	660	202
765	661	201
766	661	201
767	662	200
768	663	199
769	663	198
770	664	197
771	664	196
772	665	195
773	665	194
774	666	193
775	666	192
776	667	191
777	668	190
778	669	189
779	669	188
780	670	187
781	670	187
782	671	186
783	671	185
784	672	184
785	672	183
786	673	182
787	673	181
788	674	180
789	675	179
790	675	178
791	676	177
792	676	176
793	677	175
794	678	174
795	679	174
796	679	173
797	680	172
798	681	171
799	682	170
800	683	169
801	684	168
802	684	167
803	685	167
804	685	166
805	686	165
806	687	164
807	687	163
808	688	162
809	688	161
810	689	160
811	689	159
812	690	158
813	691	157
814	691	156
815	692	156
816	692	155
817	693	154
818	693	153
819	694	152
820	694	151
821	695	150
822	696	149
823	696	148
824	697	147
825	698	147
826	698	146
827	699	145
828	700	144
829	700	143
830	701	142
831	701	141
832	702	140
833	702	139
834	703	138
835	703	138
836	704	137
837	705	136
838	705	135
839	706	134
840	707	133
841	707	132
842	708	131
843	708	130
844	709	130
845	709	129
846	710	128
847	710	127
848	711	126
849	712	125
850	712	124
851	713	123
852	714	123
853	714	122
854	715	121
855	715	120
856	716	119
857	716	118
858	717	117
859	717	116
860	718	115
861	719	115
862	719	114
863	720	113
864	721	112
865	721	111
866	722	110
867	722	109
868	723	109
869	723	108
870	724	107
871	725	106
872	725	105
873	726	104
874	727	103
875	727	103
876	728	102
877	729	101
878	729	100
879	730	99
880	730	98
881	731	97
882	731	96
883	732	96
884	733	95
885	733	94
886	734	93
887	734	92
888	735	91
889	736	90
890	736	90
891	737	89
892	737	88
893	738	87
894	739	86
895	740	85
896	741	85
897	741	84
898	742	83
899	742	82
900	743	81
901	744	80
902	744	79
903	745	79
904	745	78
905	746	77
906	747	76
907	747	75
908	748	74
909	748	74
910	749	73
911	749	72
912	750	71
913	750	70
914	751	69
915	752	68
916	752	68
917	753	67
918	753	66
919	754	65
920	754	64
921	755	63
922	756	63
923	757	62
924	758	61
925	758	60
926	759	59
927	760	59
928	761	58
929	761	57
930	762	56
931	763	55
932	763	54
933	764	53
934	764	53
935	765	52
936	765	51
937	766	50
938	766	49
939	767	48
940	768	48
941	768	47
942	769	46
943	770	45
944	770	44
945	771	44
946	771	43
947	772	42
948	773	41
949	773	40
950	774	39
951	774	39
952	775	38
953	776	37
954	776	36
955	777	35
956	777	34
957	778	34
958	778	33
959	779	32
960	779	31
961	780	30
962	780	30
963	781	29
964	781	28
965	782	27
966	783	26
967	783	25
968	784	25
969	785	24
970	786	23
971	786	22
972	787	21
973	788	21
974	788	20
975	789	19
976	789	18
977	790	17
978	790	16
979	791	16
980	792	15
981	792	14
982	793	13
983	793	12
984	794	12
985	794	11
986	795	10
987	796	9
988	796	8
989	797	8
990	797	7
991	798	6
992	798	5
993	799	4
994	800	4
995	801	3
996	802	2
997	802	1
998	803	0
999	804	0
